"","Breed","Treatment","ch4_g_day","ch4_g_kg_dmi","ch4_dmi_binary","split"
"01T6","Aberdeen Angus X","treatment",275.811738308396,18.3569432654509,"low","group2"
"02T6","Aberdeen Angus X","control",357.396178332982,33.2914205245282,"high","group1"
"15T6","Aberdeen Angus X","treatment",307.693449244525,18.8301460989138,"low","group2"
"16T6","Luing","treatment",254.118634439357,31.1793266520537,"high","group2"
"21T6","Aberdeen Angus X","treatment",216.854028433887,17.2749270228773,"low","group2"
"25T6","Luing","control",223.791483185249,21.6719415371387,"low","group1"
"28T6","Luing","control",191.753480727567,21.0930030808021,"low","group1"
"29T6","Luing","treatment",269.835224225252,32.9942544278467,"high","group1"
"35T6","Luing","treatment",187.426242803505,19.1902697059695,"low","group1"
"43T6","Aberdeen Angus X","treatment",221.739707974455,25.2656491573484,"high","group2"
"48T6","Aberdeen Angus X","control",217.927747876204,19.1375941817523,"low","group1"
"51T6","Luing","treatment",253.739836803472,35.5649455343465,"high","group2"
"55T6","Aberdeen Angus X","treatment",204.330964783838,18.8863459344941,"low","group1"
"59T6","Aberdeen Angus X","treatment",274.817005804973,25.4891221865693,"high","group1"
"60T6","Luing","control",293.012315623241,28.3012885408667,"high","group1"
"61T6","Luing","treatment",218.74201583924,21.1034525573048,"low","group2"
"63T6","Aberdeen Angus X","control",296.405043310732,26.7094423340412,"high","group1"
"67T6","Aberdeen Angus X","control",306.289764417951,32.1519477122242,"high","group1"
"75T6","Aberdeen Angus X","control",170.866173890029,20.2920702045201,"low","group1"
"76T6","Luing","treatment",294.133842319642,26.3906162025659,"high","group2"
"06T6","Luing","control",246.968002629785,23.2415766316316,"low","group1"
"08T6","Luing","control",278.229865088326,25.7575059707093,"high","group1"
"42T6","Luing","control",193.37346776404,30.1143616913056,"high","group2"
"45T6","Aberdeen Angus X","control",195.739505835205,18.9355737143749,"low","group1"
